time,x acceleration,y acceleration,z acceleration,magnitude acceleration
22.278585,-0.024942925,0.032898866,0.084024489,0.09361944
22.288652,-0.0143703,0.033374025,0.070394629,0.079219536
22.298719,-0.002392096,0.022569229,0.056612742,0.06099258
22.308786,0.003999148,0.014002583,0.052861168,0.054830362
22.318853,0.001411792,0.012389282,0.022318237,0.025565429
22.32892,0.022677503,0.007715145,0.011835349,0.02671831
22.338987,0.010012407,0.012502772,0.017827576,0.023966436
22.349054,0.023732889,-0.003531389,0.001970512,0.024074959
22.359122,0.010648209,-0.003947583,0.001685168,0.011480747
22.369189,0.005966636,-0.010211541,0.000350248,0.011832117
22.379256,0.005439144,0.002968101,0.023708705,0.024505033
22.389323,0.003716974,0.016409589,0.04033117,0.043700043
22.39939,-0.015440075,0.002405563,0.053356428,0.055597581
22.409457,0.002674315,0.005245702,0.070418603,0.07066434
22.419524,-0.025360069,0.014447319,0.091966177,0.096486454
22.429592,-0.020688755,0.034246704,0.083722773,0.092792047
22.439659,-0.00880132,0.039019895,0.094639524,0.102745584
22.449726,0.002144439,0.029038607,0.087742149,0.092447412
22.459793,-0.009338424,0.024272322,0.073817005,0.078264308
22.46986,-0.007160683,0.013861391,0.04806879,0.050537334
22.479927,-0.001422591,0.019856505,0.026666812,0.033277972
22.489994,0.025454355,0.013769718,0.021882035,0.036281576
22.500061,0.009017576,0.001175839,0.007073961,0.011521294
22.510129,0.02350599,-0.013313434,-0.002943488,0.027174311
22.520196,0.020960834,-0.030060627,0.009788239,0.037931616
22.530263,0.011195298,-0.013258543,0.003206028,0.017646594
22.54033,-3.46448E-05,-0.007411419,0.015785728,0.017439024
22.550397,0.004934822,0.017475226,0.039885027,0.043824096
22.560464,-0.003237777,0.024443755,0.070568876,0.07475257
22.570531,-0.000268287,0.026819716,0.089422054,0.093357768
22.580599,-0.010479078,0.04143147,0.086570367,0.096544322
22.590666,-0.015188289,0.032257627,0.104230127,0.110159693
